conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,link gambar
1874674501025513586,Thu Jan 02 04:30:05 +0000 2025,0,Cek PROMO PAKET BUNDLING Beli 1 Dapat 2 Parfum Wanita Tahan Lama Elegant Mewah Aroma Scandal Blck Opivm dengan harga Rp36.332. Dapatkan di Shopee sekarang! https://t.co/R7dn4RWmpX https://t.co/Qh8OzfVnfE,1874674501025513586,https://pbs.twimg.com/media/GgQuhf6acAAMGFF.jpg,,in,,0,0,0,https://x.com/undefined/status/1874674501025513586,1547920110907576320,,
1867012772179132502,Thu Dec 12 01:05:06 +0000 2024,0,Cek EITR Mix SCANDAL x BLUE Extrait de Parfum || UNISEX || 60ML + FREE 10ML - Aroma Segar Manis Daya Tahan up to 24 Jam dengan harga Rp225.000. Dapatkan di Shopee sekarang! https://t.co/VtRRcqdWS7 https://t.co/wPAxfGk7CP,1867012772179132502,https://pbs.twimg.com/media/Gej2N5CaEAAZCX_.jpg,,in,,0,0,0,https://x.com/undefined/status/1867012772179132502,1676983950315773952,,
1866805530234405000,Wed Dec 11 11:21:36 +0000 2024,0,Cek EITR Mix SCANDAL x BLUE Extrait de Parfum || UNISEX || 60ML + FREE 10ML - Aroma Segar Manis Daya Tahan up to 24 Jam dengan harga Rp225.000. Dapatkan di Shopee sekarang! https://t.co/fWcU8J1h29 https://t.co/DmlpuVU2bz,1866805530234405000,https://pbs.twimg.com/media/Geg5uwHaEAEUwhc.jpg,,in,,0,0,0,https://x.com/undefined/status/1866805530234405000,1676983950315773952,,
1866638413862146111,Wed Dec 11 00:17:46 +0000 2024,0,4. Heura parfum scandal Wangi kombinasi dari rasberry peony sama pralin bikin parfum ini punya aroma yang segar dan manis yang elegant Link: https://t.co/fr5KLYzxP0 https://t.co/bTrVev3PA8,1866638469797384419,https://pbs.twimg.com/media/GeehyyxaEAYbzqo.jpg,berburu_produk,in,,0,0,0,https://x.com/undefined/status/1866638469797384419,896437582715736064,,
1865360701952242037,Mon Dec 09 05:00:25 +0000 2024,0,@LitaaRahayu @tanyarlfes Kalau scandal aromanya manis tp bukan manis berlebihan kayak bubble gum/vanilla. Untuk aku yg ga terlalu suka aroma manis gitu varian ini masi bisa ditoleransi karena di aku lebih tahan lama dibanding omnia sm blooming,1865984824412094725,,LitaaRahayu,in,,0,0,0,https://x.com/undefined/status/1865984824412094725,1559027884102000640,,
1864998533574857202,Fri Dec 06 11:41:15 +0000 2024,0,30k an!! diskon beli di link ini https://t.co/IMVpKjKl7b Nifty Twice - Scandal 50ml Parfum Wanita Aroma Fresh Segar / Eau De Perfume promo wts wtb hanya tag diskon beli di link ini https://t.co/IMVpKjKl7b https://t.co/3Qh9VAEQ5E,1864998533574857202,https://pbs.twimg.com/media/GeHOSFTbIAAF052.jpg,,in,,0,0,0,https://x.com/undefined/status/1864998533574857202,1432243561311866881,,
1862430524251545677,Fri Nov 29 09:37:20 +0000 2024,0,5. heura parfum scandal aroma alam bunga segar buah link https://t.co/DWazj8ZsZj https://t.co/IBqqIp10oJ,1862430637376118904,https://pbs.twimg.com/media/GdiuyrWW4AAZhsL.jpg,rekomterbaik,in,,0,1,0,https://x.com/undefined/status/1862430637376118904,895720987429265408,,
1862357821842760084,Fri Nov 29 04:48:33 +0000 2024,0,heura parfum scandal aroma alam bunga segar buah link https://t.co/AC2L7rDSly https://t.co/v04LscRxLR,1862357962293207054,https://pbs.twimg.com/media/GdhssblaUAAr0z3.jpg,threadIemon,in,,0,1,0,https://x.com/undefined/status/1862357962293207054,894470396094709760,,
1857338431615254764,Fri Nov 15 08:22:51 +0000 2024,0,Sedangkan parfum VS. Scandal memiliki karakter Fresh-Fruity. Dengan aroma raspberry yang dominan namun aromanya lebih lembut dari Scandal Prem. Memberikan kesan sederhana tapi elegan. Cocok untuk kamu yang suka wangi segar dan ringan.,1857338461893857468,,UchiParfume_,in,,0,1,0,https://x.com/undefined/status/1857338461893857468,1357910656930910209,,
1857338431615254764,Fri Nov 15 08:22:50 +0000 2024,0,Scandal Prem menawarkan aroma karakter Fresh Fruity didominasi nots raspberry yang lembut dan segar. Memberikan kesan seksi dan sederhana. Cocok buat kamu yang mau tampil lebih segar dengan aroma manis yang ga berlebihan.,1857338455765979284,,UchiParfume_,in,,0,1,0,https://x.com/undefined/status/1857338455765979284,1357910656930910209,,
1856643995826553099,Wed Nov 13 10:23:18 +0000 2024,0,Lebih baik wangi daripada diomongin orang karena bau badan PROMO FNS Perfume SCANDAL Parfum Wanita - Eau De Perfume Wanita Tahan Lama - Aroma Inspired Series Scent dengan harga Rp39.900. Dapatkan di Shopee sekarang! https://t.co/CwKpdJnolA https://t.co/78uamMMhmY,1856643995826553099,https://pbs.twimg.com/media/GcQf3zdbQAAe9ef.jpg,,in,,0,0,0,https://x.com/undefined/status/1856643995826553099,330930825,,
1855806476574687657,Mon Nov 11 05:00:43 +0000 2024,0,@l0verrrr_ Kepo sama aroma scandal,1855838042290000224,,l0verrrr_,in,,0,0,0,https://x.com/undefined/status/1855838042290000224,1659133659071533057,,
1854183745550786920,Wed Nov 06 15:27:08 +0000 2024,0,wts #wts INSPIRED PARFUM SCANDAL JPG VICTORIA SECRET - SCANDALOUS - ROMANTIC WISH DUNHILL BLUE dll (bisa request aroma parfum dan pure bibit/biang/plus pelarutnya) Harga murah Hanya!!! 30ml - 50ribu 50ml - 75ribu 15ml - 25ribu https://t.co/2EYXqv8Y6f,1854183745550786920,,,in,,0,0,0,https://x.com/undefined/status/1854183745550786920,912518479865012225,,
